23,Organic Black Rice,"Nutty and chewy black rice high in antioxidants.",INMUEBLES,MUY_USADO,true,3.59,18
24,Compact Umbrella,Portable and lightweight umbrella for protection from rain.,TELEFONIA,BUENO,true,12.99,16
25,Pumpkin Spice Creamer,A seasonal creamer that adds pumpkin spice flavor to coffee or tea.,ROPA,BUENO,false,3.79,11
26,Sliced Olives,"Pitted black olives perfect for salads and pizzas.",MUEBLES,MUY_USADO,false,1.99,11
27,Whole Wheat Pita Bread,"Soft and fluffy whole wheat pita bread great for wraps.",INFORMATICA,PERFECTO,false,2.79,8
28,Portable Hammock,Lightweight hammock for easy setup anywhere.,BICICLETAS,DEFECTUOSO,false,27.99,12
29,Eco-Friendly Yoga Mat,Made from biodegradable materials for eco-conscious yogis.,INFORMATICA,MUY_USADO,true,39.99,20
30,Jennifer's Amazing Lip Balm Kit,DIY kit to make your own lip balms in various flavors.,BICICLETAS,MUY_USADO,true,22.99,9
31,Wine Glasses,Set of elegant wine glasses for special occasions.,BICICLETAS,DEFECTUOSO,false,29.99,18
32,Garlic Herb Grilled Chicken,Marinated grilled chicken breasts seasoned with garlic and herbs.,INMUEBLES,MUY_USADO,true,8.99,7
33,Plant-Based Protein Bars,Nutritious protein bars for on-the-go snacking.,TELEFONIA,PERFECTO,false,19.99,6
34,Peanut Butter Pretzel Nuggets,Crunchy pretzel nuggets filled with creamy peanut butter.,TELEFONIA,DEFECTUOSO,false,3.29,9
35,Pet Bed,Comfortable pet bed for small to medium-sized dogs.,MUEBLES,MALO,true,39.99,20
36,Adjustable Kitchen Broom Stand,Space-saving broom holder for organized cleaning supplies.,COCHES,MUY_USADO,false,14.99,5
37,Compressible Packing Cubes,Organizational cubes for easy packing and travel.,MUEBLES,DEFECTUOSO,false,29.99,7
38,Artisan Bread,"Freshly baked artisan bread perfect for sandwiches or toasting.",INFORMATICA,PERFECTO,true,4.59,8
39,White Rice,"Plain white rice a staple for any meal.",ROPA,DEFECTUOSO,true,1.49,18
40,Cinnamon Sugar Popcorn,Sweet popcorn coated in a mixture of cinnamon and sugar.,BICICLETAS,MALO,false,2.89,5
41,Maple Chipotle Glaze,A sweet and spicy glaze that's perfect for grilling or marinades.,INMUEBLES,POCO_USO,false,3.49,16
42,Vanilla Pudding Mix,Instant mix for creamy vanilla pudding.,INFORMATICA,DEFECTUOSO,false,1.29,3
43,Vegetable Stir-Fry Kit,"A mix of fresh vegetables with a savory stir-fry sauce ready to cook.",TELEFONIA,DEFECTUOSO,false,6.99,17
44,Coconut Curry Sauce,A flavorful sauce made with coconut milk and spices.,MUEBLES,BUENO,false,3.89,1
45,Fashionable Belt Bag,Trendy belt bag for hands-free carrying.,ROPA,DEFECTUOSO,false,34.99,20
46,LED Desk Lamp with USB Charging,Stylish desk lamp featuring a USB charging port.,INFORMATICA,PERFECTO,true,39.99,4
47,Multifunctional Baby Bottle Warmer,Warmer for heating baby bottles and food jars.,ROPA,DEFECTUOSO,false,39.99,16
48,Folding Pocket Knife,Compact knife with safety lock for everyday use.,INFORMATICA,PERFECTO,true,24.99,20
49,Basil Tomato Soup,"Rich tomato soup flavored with fresh basil ready to heat up.",MUEBLES,MUY_USADO,false,2.99,2
50,Pet Activity Tracker,GPS collar that monitors your pet's location and activity level.,BICICLETAS,BUENO,true,59.99,16
